acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
-163.968,577.792,687.104
-156.160,601.216,702.720
-203.008,569.984,698.816
-160.064,566.080,683.200
-195.200,554.368,659.776
-191.296,562.176,636.352
-175.680,530.944,667.584
-199.104,550.464,648.064
-152.256,542.656,651.968
-160.064,546.560,640.256
-163.968,530.944,640.256
-136.640,538.752,609.024
-148.352,546.560,605.120
-140.544,511.424,612.928
-167.872,523.136,620.736
-128.832,534.848,601.216
-128.832,519.232,628.544
-167.872,484.096,605.120
-148.352,499.712,593.408
-140.544,499.712,589.504
-140.544,464.576,593.408
-144.448,480.192,569.984
-117.120,488.000,573.888
-93.696,484.096,573.888
-124.928,460.672,562.176
-109.312,491.904,569.984
-113.216,448.960,554.368
-81.984,460.672,577.792
-81.984,460.672,569.984
-78.080,421.632,569.984
-93.696,448.960,554.368
-97.600,425.536,542.656
-81.984,452.864,562.176
-78.080,460.672,562.176
-93.696,417.728,566.080
-85.888,429.440,538.752
-101.504,421.632,542.656
-105.408,406.016,554.368
-66.368,413.824,538.752
-54.656,429.440,519.232
-46.848,394.304,538.752
-62.464,402.112,499.712
-62.464,398.208,527.040
-58.560,406.016,523.136
-46.848,402.112,534.848
-42.944,394.304,507.520
-74.176,409.920,519.232
-62.464,382.592,515.328
-58.560,386.496,534.848
-54.656,386.496,499.712
-35.136,363.072,507.520
-35.136,378.688,523.136
-31.232,331.840,515.328
-15.616,359.168,519.232
-35.136,355.264,519.232
-27.328,343.552,507.520
0.000,355.264,534.848
-7.808,355.264,534.848
-11.712,343.552,542.656
-3.904,343.552,546.560
-7.808,347.456,546.560
7.808,343.552,546.560
11.712,335.744,530.944
23.424,316.224,550.464
19.520,339.648,550.464
46.848,339.648,534.848
46.848,343.552,546.560
39.040,378.688,569.984
58.560,351.360,511.424
78.080,378.688,534.848
81.984,339.648,534.848
66.368,366.976,530.944
66.368,351.360,534.848
78.080,343.552,527.040
81.984,308.416,546.560
74.176,343.552,534.848
101.504,316.224,523.136
62.464,308.416,507.520
93.696,312.320,527.040
81.984,320.128,484.096
93.696,308.416,507.520
81.984,316.224,480.192
78.080,312.320,503.616
101.504,292.800,499.712
89.792,308.416,499.712
81.984,284.992,507.520
70.272,296.704,503.616
54.656,284.992,530.944
70.272,296.704,534.848
19.520,308.416,581.696
15.616,320.128,593.408
11.712,316.224,632.448
-7.808,335.744,655.872
-31.232,343.552,671.488
-11.712,378.688,691.008
-46.848,370.880,733.952
-50.752,417.728,788.608
-54.656,413.824,800.320
-66.368,409.920,819.840
-70.272,409.920,854.976
-62.464,425.536,874.496
-70.272,448.960,894.016
-93.696,452.864,936.960
-74.176,445.056,925.248
-89.792,480.192,956.480
-70.272,480.192,976.000
-101.504,468.480,999.424
-81.984,495.808,1022.848
-97.600,499.712,1007.232
-105.408,495.808,1011.136
-70.272,503.616,1015.040
-89.792,503.616,1018.944
-74.176,499.712,1030.656
-89.792,511.424,1038.464
-85.888,515.328,1050.176
-66.368,527.040,1057.984
-78.080,550.464,1050.176
-89.792,538.752,1054.080
-85.888,562.176,1057.984
-105.408,569.984,1026.752
-85.888,573.888,1054.080
-140.544,577.792,1038.464
-121.024,581.696,1050.176
-128.832,593.408,1034.560
-144.448,616.832,1034.560
-121.024,589.504,1034.560
-160.064,612.928,1038.464
-128.832,616.832,1022.848
-144.448,620.736,1022.848
-136.640,597.312,1022.848
-117.120,605.120,1026.752
-132.736,593.408,1015.040
-101.504,605.120,1022.848
-124.928,616.832,1034.560
-136.640,640.256,1003.328
-128.832,624.640,1007.232
-97.600,636.352,1015.040
-113.216,612.928,999.424
-109.312,597.312,968.192
-124.928,624.640,991.616
-105.408,616.832,976.000
-66.368,609.024,944.768
-54.656,616.832,956.480
-78.080,609.024,936.960
-66.368,585.600,944.768
-70.272,585.600,921.344
-70.272,573.888,894.016
-66.368,593.408,886.208
-62.464,573.888,870.592
-39.040,593.408,851.072
-78.080,569.984,858.880
-58.560,585.600,831.552
-42.944,577.792,815.936
-46.848,577.792,808.128
-54.656,569.984,819.840
-62.464,554.368,796.416
-54.656,562.176,776.896
-46.848,550.464,772.992
-11.712,530.944,761.280
-35.136,530.944,753.472
-27.328,527.040,741.760
-39.040,495.808,733.952
-7.808,523.136,718.336
-31.232,503.616,702.720
-23.424,519.232,702.720
-15.616,511.424,671.488
-46.848,503.616,679.296
-15.616,488.000,667.584
-3.904,507.520,679.296
-19.520,511.424,651.968
-23.424,488.000,663.680
-39.040,511.424,659.776
-46.848,484.096,659.776
